National Bank of Greece,ETE.AT
Eurobank Ergasias Services and Holdings,EUROB.AT
Evans Bancorp,EVBN
East West Bancorp,EWBC
First Business Financial Services,FBIZ
FB Financial,FBK
The First Bancshares,FBMS
First Bancorp,FBNC
First Commonwealth Financial Corp,FCF
First Citizens BancShares,FCNCA
Federal Bank,FEDERALBNK.NS
First Financial Bank,FFBC
Flushing Financial Corp,FFIC
First Financial Bankshares,FFIN
First Foundation,FFWM
First Guaranty Bancshares,FGBI
First Hawaiian Bank,FHB
First Horizon National,FHN
First International Bank of Israel,FIBI.TA
First Interstate BancSystem,FIBK
First National of Nebraska,FINN
FinWise Bancorp,FINW
Financial Institutions,FISI
Fifth Third Bank,FITB
Farmers & Merchants Bancorp,FMAO
First Mid-Illinois Bancshares,FMBH
F.N.B. Corporation,FNB
First Bancorp,FNLC
First Northwest Bancorp,FNWB
Republic First Bancorp,FRBK
First Republic Bank,FRCB
First Merchants Corporation,FRME
Five Star Bancorp,FSBC
FirstRand,FSR.JO
Fulton Financial,FULT
German American Bancorp,GABC
GarantiBank,GARAN.IS
Glacier Bancorp,GBCI
Greene County Bancorp,GCBC
Galicia Financial Group,GGAL
Greenhill,GHL
Société Générale,GLE.PA
Guaranty Bancshares,GNTY
Goldman Sachs,GS
Great Southern Bancorp,GSBC
Hanmi Financial,HAFC
Halkbank,HALKB.IS
Huntington Bancshares,HBAN
Home Bancorp,HBCP
Horizon Bancorp,HBNC
HBT Financial,HBT
HDFC Bank,HDB
Housing Development Finance Corporation,HDFC.NS
Heritage Financial,HFWA
Hingham Institution for Savings,HIFS
HomeStreet Bank,HMST
Hanover Bancorp,HNVR
HarborOne Bancorp,HONE
Hope Bancorp,HOPE
HSBC,HSBC
HomeTrust Bancshares,HTBI
Heritage Commerce,HTBK
Heartland Financial USA,HTLF
Hawthorn Bancshares,HWBK
ICICI Bank,IBN
nternational Bancshares Corp,IBOC
Independent Bank Group,IBTX
IDBI Bank,IDBI.NS
IDFC FIRST Bank,IDFCFIRSTB.NS
Independent Bank,INDB
Indian Bank,INDIANB.NS
IndusInd Bank,INDUSINDBK.NS
ING,ING
Inter & Co,INTR
Indian Overseas Bank,IOB.NS
Türkiye Is Bankasi,ISCTR.IS
Intesa Sanpaolo,ISP.MI
Investar Holding,ISTR
Itaú CorpBanca,ITCB
Itaú Unibanco,ITUB
ORIX,IX
Jefferies Financial Group,JEF
JPMorgan Chase,JPM
Jyske Bank,JYSK.CO
Karur Vysya Bank,KARURVYSYA.NS
KB Financial Group,KB
Kasikornbank,KBANK.BK
KeyCorp (KeyBank),KEY
Türkiye Kalkınma,KLNMA.IS
Komerční banka,KOMB.PR
Kotak Mahindra Bank,KOTAKBANK.NS
Kearny Financial,KRNY
Karnataka Bank,KTKBANK.NS
Laurentian Bank of Canada,LB.TO
Lakeland Bancorp,LBAI
Luther Burbank,LBC
Lakeland Financial Corp,LKFN
Limestone Bancorp,LMST
Live Oak Bank,LOB
Luzerner Kantonalbank,LUKN.SW
Bank Leumi,LUMI.TA
Lloyds Banking Group,LYG
Bank of Maharashtra,MAHABANK.NS
Bank Mayapada Internasional,MAYA.JK
Mediobanca,MB.MI
Middlefield Banc,MBCN
Merchants Bancorp,MBIN
mBank,MBK.WA
Mercantile Bank,MBWM
Metropolitan Bank Holding,MCB
Macatawa Bank,MCBC
MetroCity Bankshares,MCBS
Bank Mega,MEGA.JK
Mizuho Financial Group,MFG
Malvern Bancorp,MLVF
Maybank,MLYBY
MainStreet Bancshares,MNSB
MidWestOne Financial Group,MOFG
MONETA Money Bank,MONET.PR
Macquarie,MQG.AX
Morgan Stanley,MS
M&T Bank,MTB
Metropolitan Bank (Metrobank),MTPOF
Mitsubishi UFJ Financial,MUFG
MVB Financial,MVBF
First Western Financial,MYFW
Mizrahi-Tefahot,MZTF.TA
National Bank of Canada,NA.TO
National Australia Bank,NAB.AX
National Bank Holdings,NBHC
Northeast Bank,NBN
NBT Bancorp,NBTB
Nordea Bank,NDA-FI.HE
Nedbank,NED.JO
Northfield Bancorp,NFBK
Nicolet Bankshares,NIC
Nomura Holdings,NMR
Northrim BanCorp,NRIM
Bank of N. T. Butterfield & Son,NTB
Nu Holdings,NU
Northwest Bank,NWBI
NatWest Group,NWG
New York Community Bank,NYCB
OCBC Bank,O39.SI
Origin Bancorp,OBNK
Oberbank,OBS.VI
Orange County Bancorp,OBT
OceanFirst Financial,OCFC
OFG Bancorp,OFG
Old Point Financial,OPOF
Oppenheimer Holdings,OPY
Orrstown Financial Services,ORRF
Old Second Bancorp,OSBC
OTP Bank,OTP.BD
Ohio Valley Banc Corp,OVBC
Bank OZK,OZK
PacWest Bancorp,PACW
Deutsche Pfandbriefbank,PBB.DE
Ponce Financial Group,PDLB
Peoples Bancorp of North Carolina,PEBK
Peoples Bancorp,PEBO
Bank Pekao (Bank Polska Kasa Opieki),PEO.WA
Preferred Bank,PFBC
Premier Financial,PFC
Penseco Financial Services,PFIS
Provident Financial Services,PFS
Peapack-Gladstone Financial,PGC
Piper Sandler,PIPR
Parke Bancorp,PKBK
PKO Bank Polski,PKO.WA
Plumas Bancorp,PLBC
Punjab National Bank,PNB.NS
PNC Financial Services,PNC
Pinnacle Financial Partners,PNFP
Bank Hapoalim,POLI.TA
Pacific Premier Bancorp,PPBI
Park National Corp,PRK
Provident Financial Holdings,PROV
Punjab & Sind Bank,PSB.NS
Partners Bancorp,PTRS
Provident Bancorp,PVBC
Penns Woods Bancorp,PWOD
QCR Holdings,QCRH
QNB Finansbank,QNBFB.IS
Raiffeisen Bank International,RAW.F
RBB Bancorp,RBB
Republic Bank,RBCAA
RBL Bank,RBLBANK.NS
Richmond Mutual Bancorporation,RMBI
Renasant Corp,RNST
Red River Bancshares,RRBI
Riverview Bancorp,RVSB
Royal Bank Of Canada,RY
Banco Sabadell,SAB.MC
Salisbury Bancorp,SAL
Santander,SAN
Sandy Spring Bank,SASR
Seacoast Banking,SBCF
State Bank of India,SBIN.NS
Standard Bank Group,SBK.JO
Signature Bank,SBNY
Southside Bancshares,SBSI
Sterling Bancorp,SBT
Charles Schwab,SCHW
Skandinaviska Enskilda Banken,SEB-A.ST
ServisFirst Bancshares,SFBS
Simmons First National,SFNC
Southern First Bancshares,SFST
St. Galler Kantonalbank,SGKN.SW
Svenska Handelsbanken,SHB-A.ST
Shore Bancshares,SHBI
Silvergate Capital,SI
Sallie Mae,SLM
Southern Missouri Bancorp,SMBC
SmartFinancial (SmartBank),SMBK
Sumitomo Mitsui Financial Group,SMFG
Synovus,SNV
South Indian Bank,SOUTHBANK.NS
Santander Polska,SPL.WA
SpareBank 1,SPOL.OL
1st Source,SRCE
South State Corp,SSB
Southern States Bancshares,SSBK
Standard Chartered,STAN.L
S&T Bancorp,STBA
Stellar Bancorp,STEL
State Street Corporation,STT
Suncorp,SUN.AX
Grupo Supervielle,SUPV
Swedbank,SWED-A.ST
Stock Yards Bancorp,SYBT
The Bancorp,TBBK
Territorial Bancorp,TBNK
Texas Capital Bancshares,TCBI
TriCo Bancshares,TCBK
Third Coast Bancshares,TCBX
Community Financial Corporation,TCFC
Toronto Dominion Bank,TD
Truist Financial,TFC
Triumph Financial,TFIN
TFS Financial,TFSL
Tompkins Financial,TMP
TowneBank,TOWN
Piraeus Financial Holdings,TPEIR.AT
Trustmark,TRMK
TrustCo Bank,TRST
Timberland Bancorp,TSBK
TMBThanachart Bank (ttb),TTB.BK
UOB,U11.SI
UBS,UBS
United Bankshares,UBSI
United Community Bank,UCBI
UniCredit,UCG.MI
UMB Financial,UMBF
Union Bankshares,UNB
Unicaja Banco,UNI.MC
Union Bank of India,UNIONBANK.NS
Unity Bancorp,UNTY
U.S. Bancorp,USB
Virginia National Bankshares,VABK
VakıfBank,VAKBN.IS
VersaBank,VBNK
Veritex Holdings,VBTX
Van Lanschot Kempen,VLK.AS
Virgin Money UK,VMUK.L
Westamerica Bancorporation,WABC
WaFd Bank,WAFD
Western Alliance Bancorporation,WAL
Washington Trust Bancorp,WASH
Westpac Banking,WBC.AX
Webster Financial,WBS
Woori Financial Group,WF
Wells Fargo,WFC
William Penn Bancorp,WMPN
Western New England Bancorp,WNEB
WesBanco,WSBC
WSFS Financial,WSFS
Wintrust Financial,WTFC
Yes Bank,YESBANK.NS
Yapı Kredi,YKBNK.IS
Zions Bancorporation,ZION
Addiko Bank,ZYE1.F
